[2026-07-04T14:34:48.366+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-04T14:34:48.425+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake_ecommerce.load_snowflake scheduled__2026-07-04T14:28:00+00:00 [queued]>
[2026-07-04T14:34:48.438+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake_ecommerce.load_snowflake scheduled__2026-07-04T14:28:00+00:00 [queued]>
[2026-07-04T14:34:48.440+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-07-04T14:34:48.463+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2026-07-04 14:28:00+00:00
[2026-07-04T14:34:48.475+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake_ecommerce', 'load_snowflake', 'scheduled__2026-07-04T14:28:00+00:00', '--job-id', '46', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake_dag.py', '--cfg-path', '/tmp/tmpdol8450z']
[2026-07-04T14:34:48.480+0000] {standard_task_runner.py:91} INFO - Job 46: Subtask load_snowflake
[2026-07-04T14:34:48.480+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=35070) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-04T14:34:48.481+0000] {standard_task_runner.py:64} INFO - Started process 35077 to run task
[2026-07-04T14:34:48.584+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake_ecommerce.load_snowflake scheduled__2026-07-04T14:28:00+00:00 [running]> on host 791512f83421
[2026-07-04T14:34:48.782+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake_ecommerce' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2026-07-04T14:28:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-04T14:28:00+00:00'
[2026-07-04T14:34:48.784+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-04T14:34:49.081+0000] {connection.py:638} INFO - Snowflake Connector for Python Version: 4.6.0, Python Version: 3.12.4, Platform: Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2026-07-04T14:34:49.083+0000] {connection.py:1760} INFO - Connecting to GLOBAL Snowflake domain
[2026-07-04T14:34:52.230+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190118474101.parquet -> @customers stage
[2026-07-04T14:34:52.664+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190118558805.parquet -> @customers stage
[2026-07-04T14:34:53.044+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190118637451.parquet -> @customers stage
[2026-07-04T14:34:53.451+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190118704077.parquet -> @customers stage
[2026-07-04T14:34:53.862+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190118757294.parquet -> @customers stage
[2026-07-04T14:34:54.268+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190118804450.parquet -> @customers stage
[2026-07-04T14:34:54.679+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190118859377.parquet -> @customers stage
[2026-07-04T14:34:55.089+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190118909807.parquet -> @customers stage
[2026-07-04T14:34:55.509+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190118962070.parquet -> @customers stage
[2026-07-04T14:34:55.907+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190119013345.parquet -> @customers stage
[2026-07-04T14:34:56.315+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190119066490.parquet -> @customers stage
[2026-07-04T14:34:56.697+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190119139754.parquet -> @customers stage
