[2026-07-04T15:10:42.866+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-04T15:10:42.908+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake_ecommerce.download_minio scheduled__2026-07-04T15:09:00+00:00 [queued]>
[2026-07-04T15:10:42.919+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake_ecommerce.download_minio scheduled__2026-07-04T15:09:00+00:00 [queued]>
[2026-07-04T15:10:42.920+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-07-04T15:10:42.934+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-07-04 15:09:00+00:00
[2026-07-04T15:10:42.943+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake_ecommerce', 'download_minio', 'scheduled__2026-07-04T15:09:00+00:00', '--job-id', '47', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake_dag.py', '--cfg-path', '/tmp/tmphdevleyv']
[2026-07-04T15:10:42.947+0000] {standard_task_runner.py:91} INFO - Job 47: Subtask download_minio
[2026-07-04T15:10:42.947+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=41676) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-04T15:10:42.948+0000] {standard_task_runner.py:64} INFO - Started process 41683 to run task
[2026-07-04T15:10:43.010+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake_ecommerce.download_minio scheduled__2026-07-04T15:09:00+00:00 [running]> on host 791512f83421
[2026-07-04T15:10:43.122+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake_ecommerce' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-07-04T15:09:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-04T15:09:00+00:00'
[2026-07-04T15:10:43.124+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-04T15:10:45.744+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118474101.parquet -> /tmp/minio_downloads/customers_190118474101.parquet
[2026-07-04T15:10:45.759+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118558805.parquet -> /tmp/minio_downloads/customers_190118558805.parquet
[2026-07-04T15:10:45.774+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-06-17/customers_190118637451.parquet -> /tmp/minio_downloads/customers_190118637451.parquet
